scope_category,vendor_a_idx,vendor_b_idx,method,confidence
Electrics,153.0,,UNMATCHED,UNMATCHED
Electrics,154.0,,UNMATCHED,UNMATCHED
Electrics,155.0,,UNMATCHED,UNMATCHED
Electrics,156.0,,UNMATCHED,UNMATCHED
Electrics,157.0,,UNMATCHED,UNMATCHED
Electrics,158.0,,UNMATCHED,UNMATCHED
Electrics,159.0,,UNMATCHED,UNMATCHED
Electrics,160.0,,UNMATCHED,UNMATCHED
Electrics,161.0,,UNMATCHED,UNMATCHED
Electrics,162.0,,UNMATCHED,UNMATCHED
Electrics,163.0,,UNMATCHED,UNMATCHED
Electrics,164.0,,UNMATCHED,UNMATCHED
Electrics,165.0,,UNMATCHED,UNMATCHED
Electrics,166.0,,UNMATCHED,UNMATCHED
Electrics,167.0,,UNMATCHED,UNMATCHED
Electrics,168.0,,UNMATCHED,UNMATCHED
Electrics,169.0,,UNMATCHED,UNMATCHED
Electrics,170.0,,UNMATCHED,UNMATCHED
Electrics,171.0,,UNMATCHED,UNMATCHED
Electrics,172.0,,UNMATCHED,UNMATCHED
Electrics,173.0,,UNMATCHED,UNMATCHED
Electrics,174.0,,UNMATCHED,UNMATCHED
Electrics,175.0,,UNMATCHED,UNMATCHED
Electrics,176.0,,UNMATCHED,UNMATCHED
Electrics,177.0,,UNMATCHED,UNMATCHED
Electrics,179.0,,UNMATCHED,UNMATCHED
Electrics,204.0,,UNMATCHED,UNMATCHED
Electrics,205.0,,UNMATCHED,UNMATCHED
Electrics,206.0,,UNMATCHED,UNMATCHED
Electrics,207.0,,UNMATCHED,UNMATCHED
Electrics,209.0,,UNMATCHED,UNMATCHED
Electrics,237.0,,UNMATCHED,UNMATCHED
Electrics,238.0,,UNMATCHED,UNMATCHED
Electrics,239.0,,UNMATCHED,UNMATCHED
Electrics,240.0,,UNMATCHED,UNMATCHED
Electrics,242.0,,UNMATCHED,UNMATCHED
Electrics,266.0,,UNMATCHED,UNMATCHED
Electrics,267.0,,UNMATCHED,UNMATCHED
Electrics,268.0,,UNMATCHED,UNMATCHED
Electrics,269.0,,UNMATCHED,UNMATCHED
Electrics,271.0,,UNMATCHED,UNMATCHED
Electrics,297.0,,UNMATCHED,UNMATCHED
Electrics,298.0,,UNMATCHED,UNMATCHED
Electrics,299.0,,UNMATCHED,UNMATCHED
Electrics,300.0,,UNMATCHED,UNMATCHED
Electrics,302.0,,UNMATCHED,UNMATCHED
Electrics,330.0,,UNMATCHED,UNMATCHED
Electrics,331.0,,UNMATCHED,UNMATCHED
Electrics,332.0,,UNMATCHED,UNMATCHED
Electrics,333.0,,UNMATCHED,UNMATCHED
Electrics,335.0,,UNMATCHED,UNMATCHED
Electrics,361.0,,UNMATCHED,UNMATCHED
Electrics,362.0,,UNMATCHED,UNMATCHED
Electrics,363.0,,UNMATCHED,UNMATCHED
Electrics,364.0,,UNMATCHED,UNMATCHED
Electrics,366.0,,UNMATCHED,UNMATCHED
Electrics,395.0,,UNMATCHED,UNMATCHED
Electrics,396.0,,UNMATCHED,UNMATCHED
Electrics,397.0,,UNMATCHED,UNMATCHED
Electrics,398.0,,UNMATCHED,UNMATCHED
Electrics,400.0,,UNMATCHED,UNMATCHED
Electrics,443.0,,UNMATCHED,UNMATCHED
Electrics,444.0,,UNMATCHED,UNMATCHED
Electrics,445.0,,UNMATCHED,UNMATCHED
Electrics,446.0,,UNMATCHED,UNMATCHED
Electrics,448.0,,UNMATCHED,UNMATCHED
Electrics,451.0,,UNMATCHED,UNMATCHED
Electrics,452.0,,UNMATCHED,UNMATCHED
Electrics,453.0,,UNMATCHED,UNMATCHED
Electrics,454.0,,UNMATCHED,UNMATCHED
Electrics,456.0,,UNMATCHED,UNMATCHED
Electrics,462.0,,UNMATCHED,UNMATCHED
Electrics,463.0,,UNMATCHED,UNMATCHED
Electrics,464.0,,UNMATCHED,UNMATCHED
Electrics,465.0,,UNMATCHED,UNMATCHED
Electrics,467.0,,UNMATCHED,UNMATCHED
Electrics,474.0,,UNMATCHED,UNMATCHED
Electrics,475.0,,UNMATCHED,UNMATCHED
Electrics,476.0,,UNMATCHED,UNMATCHED
Electrics,477.0,,UNMATCHED,UNMATCHED
Electrics,479.0,,UNMATCHED,UNMATCHED
Electrics,486.0,,UNMATCHED,UNMATCHED
Electrics,487.0,,UNMATCHED,UNMATCHED
Electrics,488.0,,UNMATCHED,UNMATCHED
Electrics,489.0,,UNMATCHED,UNMATCHED
Electrics,491.0,,UNMATCHED,UNMATCHED
Electrics,498.0,,UNMATCHED,UNMATCHED
Electrics,499.0,,UNMATCHED,UNMATCHED
Electrics,500.0,,UNMATCHED,UNMATCHED
Electrics,501.0,,UNMATCHED,UNMATCHED
Electrics,503.0,,UNMATCHED,UNMATCHED
Electrics,521.0,,UNMATCHED,UNMATCHED
Electrics,522.0,,UNMATCHED,UNMATCHED
Electrics,523.0,,UNMATCHED,UNMATCHED
Electrics,524.0,,UNMATCHED,UNMATCHED
Electrics,525.0,,UNMATCHED,UNMATCHED
Electrics,526.0,,UNMATCHED,UNMATCHED
Electrics,527.0,,UNMATCHED,UNMATCHED
Electrics,528.0,,UNMATCHED,UNMATCHED
Electrics,529.0,,UNMATCHED,UNMATCHED
Electrics,530.0,,UNMATCHED,UNMATCHED
Electrics,531.0,,UNMATCHED,UNMATCHED
Electrics,532.0,,UNMATCHED,UNMATCHED
Electrics,533.0,,UNMATCHED,UNMATCHED
Electrics,534.0,,UNMATCHED,UNMATCHED
Electrics,535.0,,UNMATCHED,UNMATCHED
Electrics,536.0,,UNMATCHED,UNMATCHED
Electrics,537.0,,UNMATCHED,UNMATCHED
Electrics,538.0,,UNMATCHED,UNMATCHED
Electrics,539.0,,UNMATCHED,UNMATCHED
Electrics,540.0,,UNMATCHED,UNMATCHED
Electrics,541.0,,UNMATCHED,UNMATCHED
Electrics,542.0,,UNMATCHED,UNMATCHED
Electrics,543.0,,UNMATCHED,UNMATCHED
Electrics,544.0,,UNMATCHED,UNMATCHED
Electrics,545.0,,UNMATCHED,UNMATCHED
Electrics,546.0,,UNMATCHED,UNMATCHED
Electrics,547.0,,UNMATCHED,UNMATCHED
Electrics,548.0,,UNMATCHED,UNMATCHED
Electrics,549.0,,UNMATCHED,UNMATCHED
Electrics,550.0,,UNMATCHED,UNMATCHED
Electrics,551.0,,UNMATCHED,UNMATCHED
Electrics,552.0,,UNMATCHED,UNMATCHED
Electrics,553.0,,UNMATCHED,UNMATCHED
Electrics,554.0,,UNMATCHED,UNMATCHED
Electrics,555.0,,UNMATCHED,UNMATCHED
Electrics,556.0,,UNMATCHED,UNMATCHED
Electrics,557.0,,UNMATCHED,UNMATCHED
Electrics,558.0,,UNMATCHED,UNMATCHED
Electrics,559.0,,UNMATCHED,UNMATCHED
Electrics,560.0,,UNMATCHED,UNMATCHED
Electrics,561.0,,UNMATCHED,UNMATCHED
Electrics,562.0,,UNMATCHED,UNMATCHED
Electrics,563.0,,UNMATCHED,UNMATCHED
Electrics,564.0,,UNMATCHED,UNMATCHED
Electrics,565.0,,UNMATCHED,UNMATCHED
Electrics,566.0,,UNMATCHED,UNMATCHED
Electrics,567.0,,UNMATCHED,UNMATCHED
Electrics,568.0,,UNMATCHED,UNMATCHED
Electrics,569.0,,UNMATCHED,UNMATCHED
Electrics,570.0,,UNMATCHED,UNMATCHED
Electrics,571.0,,UNMATCHED,UNMATCHED
Electrics,572.0,,UNMATCHED,UNMATCHED
Electrics,573.0,,UNMATCHED,UNMATCHED
Electrics,574.0,,UNMATCHED,UNMATCHED
Electrics,575.0,,UNMATCHED,UNMATCHED
Electrics,576.0,,UNMATCHED,UNMATCHED
Electrics,577.0,,UNMATCHED,UNMATCHED
Electrics,578.0,,UNMATCHED,UNMATCHED
Electrics,579.0,,UNMATCHED,UNMATCHED
Electrics,580.0,,UNMATCHED,UNMATCHED
Electrics,581.0,,UNMATCHED,UNMATCHED
Electrics,582.0,,UNMATCHED,UNMATCHED
Electrics,583.0,,UNMATCHED,UNMATCHED
Electrics,584.0,,UNMATCHED,UNMATCHED
Electrics,585.0,,UNMATCHED,UNMATCHED
Electrics,586.0,,UNMATCHED,UNMATCHED
Electrics,587.0,,UNMATCHED,UNMATCHED
