item_id,Scope - Electrics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,,,,,item_id_norm,Scope - Electrics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,nan_norm,scope_category,vendor_id
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
4.,"Total Price: 
",,,,,,,0.0,,,,,,,,,4.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
5.,,,,,,,,,,,,,,,,,5.,,,,,,,,,Electrics,A
5.1,,,,0.0,,,,0.0,,,,,,,,,5.1,,,,,,,,,Electrics,A
5.2,,,,0.0,,,,0.0,,,,,,,,,5.2,,,,,,,,,Electrics,A
5.3,,,,0.0,,,,0.0,,,,,,,,,5.3,,,,,,,,,Electrics,A
5.4,,,,0.0,,,,0.0,,,,,,,,,5.4,,,,,,,,,Electrics,A
5.5,,,,0.0,,,,0.0,,,,,,,,,5.5,,,,,,,,,Electrics,A
5.6,,,,0.0,,,,0.0,,,,,,,,,5.6,,,,,,,,,Electrics,A
5.7,,,,0.0,,,,0.0,,,,,,,,,5.7,,,,,,,,,Electrics,A
5.8,,,,0.0,,,,0.0,,,,,,,,,5.8,,,,,,,,,Electrics,A
5.9,,,,0.0,,,,0.0,,,,,,,,,5.9,,,,,,,,,Electrics,A
5.10,,,,0.0,,,,0.0,,,,,,,,,5.10,,,,,,,,,Electrics,A
5.11,,,,0.0,,,,0.0,,,,,,,,,5.11,,,,,,,,,Electrics,A
5.12,,,,0.0,,,,0.0,,,,,,,,,5.12,,,,,,,,,Electrics,A
5.13,,,,0.0,,,,0.0,,,,,,,,,5.13,,,,,,,,,Electrics,A
