item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
3.,"Total Price: 
",,,,,,,0.0,,,,,3.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
4.,,,,,,,,,,,,,4.,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
4.,"Total Price: 
",,,,,,,0.0,,,,,4.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
5.,,,,,,,,,,,,,5.,,,,,,,,Mechanics,A
5.1,,,,0.0,,,,0.0,,,,,5.1,,,,,,,,Mechanics,A
5.2,,,,0.0,,,,0.0,,,,,5.2,,,,,,,,Mechanics,A
5.3,,,,0.0,,,,0.0,,,,,5.3,,,,,,,,Mechanics,A
5.4,,,,0.0,,,,0.0,,,,,5.4,,,,,,,,Mechanics,A
5.5,,,,0.0,,,,0.0,,,,,5.5,,,,,,,,Mechanics,A
5.6,,,,0.0,,,,0.0,,,,,5.6,,,,,,,,Mechanics,A
5.7,,,,0.0,,,,0.0,,,,,5.7,,,,,,,,Mechanics,A
5.8,,,,0.0,,,,0.0,,,,,5.8,,,,,,,,Mechanics,A
5.9,,,,0.0,,,,0.0,,,,,5.9,,,,,,,,Mechanics,A
5.10,,,,0.0,,,,0.0,,,,,5.10,,,,,,,,Mechanics,A
5.11,,,,0.0,,,,0.0,,,,,5.11,,,,,,,,Mechanics,A
5.12,,,,0.0,,,,0.0,,,,,5.12,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
5.,"Total Price: 
",,,,,,,0.0,,,,,5.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
6.,,,,,,,,,,,,,6.,,,,,,,,Mechanics,A
6.1,,,,0.0,,,,0.0,,,,,6.1,,,,,,,,Mechanics,A
6.2,,,,0.0,,,,0.0,,,,,6.2,,,,,,,,Mechanics,A
6.3,,,,0.0,,,,0.0,,,,,6.3,,,,,,,,Mechanics,A
6.4,,,,0.0,,,,0.0,,,,,6.4,,,,,,,,Mechanics,A
6.5,,,,0.0,,,,0.0,,,,,6.5,,,,,,,,Mechanics,A
6.6,,,,0.0,,,,0.0,,,,,6.6,,,,,,,,Mechanics,A
6.7,,,,0.0,,,,0.0,,,,,6.7,,,,,,,,Mechanics,A
6.8,,,,0.0,,,,0.0,,,,,6.8,,,,,,,,Mechanics,A
6.9,,,,0.0,,,,0.0,,,,,6.9,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
6.,"Total Price: 
",,,,,,,0.0,,,,,6.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
7.,,,,,,,,,,,,,7.,,,,,,,,Mechanics,A
7.1,,,,0.0,,,,0.0,,,,,7.1,,,,,,,,Mechanics,A
7.2,,,,0.0,,,,0.0,,,,,7.2,,,,,,,,Mechanics,A
7.3,,,,0.0,,,,0.0,,,,,7.3,,,,,,,,Mechanics,A
7.4,,,,0.0,,,,0.0,,,,,7.4,,,,,,,,Mechanics,A
7.12,,,,0.0,,,,0.0,,,,,7.12,,,,,,,,Mechanics,A
7.13,,,,0.0,,,,0.0,,,,,7.13,,,,,,,,Mechanics,A
7.14,,,,0.0,,,,0.0,,,,,7.14,,,,,,,,Mechanics,A
7.16,,,,0.0,,,,0.0,,,,,7.16,,,,,,,,Mechanics,A
7.17,,,,0.0,,,,0.0,,,,,7.17,,,,,,,,Mechanics,A
7.18,,,,0.0,,,,0.0,,,,,7.18,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
7.,"Total Price: 
",,,,,,,0.0,,,,,7.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
8.,,,,,,,,,,,,,8.,,,,,,,,Mechanics,A
8.1,,,,0.0,,,,0.0,,,,,8.1,,,,,,,,Mechanics,A
8.2,,,,0.0,,,,0.0,,,,,8.2,,,,,,,,Mechanics,A
8.3,,,,0.0,,,,0.0,,,,,8.3,,,,,,,,Mechanics,A
8.4,,,,0.0,,,,0.0,,,,,8.4,,,,,,,,Mechanics,A
8.5,,,,0.0,,,,0.0,,,,,8.5,,,,,,,,Mechanics,A
8.6,,,,0.0,,,,0.0,,,,,8.6,,,,,,,,Mechanics,A
8.7,,,,0.0,,,,0.0,,,,,8.7,,,,,,,,Mechanics,A
8.8,,,,0.0,,,,0.0,,,,,8.8,,,,,,,,Mechanics,A
8.9,,,,0.0,,,,0.0,,,,,8.9,,,,,,,,Mechanics,A
8.10,,,,0.0,,,,0.0,,,,,8.10,,,,,,,,Mechanics,A
8.11,,,,0.0,,,,0.0,,,,,8.11,,,,,,,,Mechanics,A
8.12,,,,0.0,,,,0.0,,,,,8.12,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
8.,"Total Price: 
",,,,,,,0.0,,,,,8.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
9.,,,,,,,,,,,,,9.,,,,,,,,Mechanics,A
9.1,,,,0.0,,,,0.0,,,,,9.1,,,,,,,,Mechanics,A
9.2,,,,0.0,,,,0.0,,,,,9.2,,,,,,,,Mechanics,A
9.3,,,,0.0,,,,0.0,,,,,9.3,,,,,,,,Mechanics,A
9.4,,,,0.0,,,,0.0,,,,,9.4,,,,,,,,Mechanics,A
9.5,,,,0.0,,,,0.0,,,,,9.5,,,,,,,,Mechanics,A
9.6,,,,0.0,,,,0.0,,,,,9.6,,,,,,,,Mechanics,A
9.7,,,,0.0,,,,0.0,,,,,9.7,,,,,,,,Mechanics,A
9.8,,,,0.0,,,,0.0,,,,,9.8,,,,,,,,Mechanics,A
9.9,,,,0.0,,,,0.0,,,,,9.9,,,,,,,,Mechanics,A
9.10,,,,0.0,,,,0.0,,,,,9.10,,,,,,,,Mechanics,A
9.11,,,,0.0,,,,0.0,,,,,9.11,,,,,,,,Mechanics,A
9.12,,,,0.0,,,,0.0,,,,,9.12,,,,,,,,Mechanics,A
9.13,,,,0.0,,,,0.0,,,,,9.13,,,,,,,,Mechanics,A
9.14,,,,0.0,,,,0.0,,,,,9.14,,,,,,,,Mechanics,A
9.15,,,,0.0,,,,0.0,,,,,9.15,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
9.,"Total Price: 
",,,,,,,0.0,,,,,9.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
10.,,,,,,,,,,,,,10.,,,,,,,,Mechanics,A
10.1,,,,0.0,,,,0.0,,,,,10.1,,,,,,,,Mechanics,A
10.2,,,,0.0,,,,0.0,,,,,10.2,,,,,,,,Mechanics,A
10.3,,,,0.0,,,,0.0,,,,,10.3,,,,,,,,Mechanics,A
10.4,,,,0.0,,,,0.0,,,,,10.4,,,,,,,,Mechanics,A
10.5,,,,0.0,,,,0.0,,,,,10.5,,,,,,,,Mechanics,A
10.6,,,,0.0,,,,0.0,,,,,10.6,,,,,,,,Mechanics,A
10.7,,,,0.0,,,,0.0,,,,,10.7,,,,,,,,Mechanics,A
10.8,,,,0.0,,,,0.0,,,,,10.8,,,,,,,,Mechanics,A
10.9,,,,0.0,,,,0.0,,,,,10.9,,,,,,,,Mechanics,A
10.10,,,,0.0,,,,0.0,,,,,10.10,,,,,,,,Mechanics,A
10.11,,,,0.0,,,,0.0,,,,,10.11,,,,,,,,Mechanics,A
10.12,,,,0.0,,,,0.0,,,,,10.12,,,,,,,,Mechanics,A
10.13,,,,0.0,,,,0.0,,,,,10.13,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
10.,"Total Price: 
",,,,,,,0.0,,,,,10.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
11.,,,,,,,,,,,,,11.,,,,,,,,Mechanics,A
11.1,,,,0.0,,,,0.0,,,,,11.1,,,,,,,,Mechanics,A
11.2,,,,0.0,,,,0.0,,,,,11.2,,,,,,,,Mechanics,A
11.3,,,,0.0,,,,0.0,,,,,11.3,,,,,,,,Mechanics,A
11.4,,,,0.0,,,,0.0,,,,,11.4,,,,,,,,Mechanics,A
11.5,,,,0.0,,,,0.0,,,,,11.5,,,,,,,,Mechanics,A
11.6,,,,0.0,,,,0.0,,,,,11.6,,,,,,,,Mechanics,A
11.7,,,,0.0,,,,0.0,,,,,11.7,,,,,,,,Mechanics,A
11.8,,,,0.0,,,,0.0,,,,,11.8,,,,,,,,Mechanics,A
11.9,,,,0.0,,,,0.0,,,,,11.9,,,,,,,,Mechanics,A
11.10,,,,0.0,,,,0.0,,,,,11.10,,,,,,,,Mechanics,A
11.11,,,,0.0,,,,0.0,,,,,11.11,,,,,,,,Mechanics,A
11.12,,,,0.0,,,,0.0,,,,,11.12,,,,,,,,Mechanics,A
11.13,,,,0.0,,,,0.0,,,,,11.13,,,,,,,,Mechanics,A
11.14,,,,0.0,,,,0.0,,,,,11.14,,,,,,,,Mechanics,A
11.15,,,,0.0,,,,0.0,,,,,11.15,,,,,,,,Mechanics,A
11.16,,,,0.0,,,,0.0,,,,,11.16,,,,,,,,Mechanics,A
11.17,,,,0.0,,,,0.0,,,,,11.17,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
11.,"Total Price: 
",,,,,,,0.0,,,,,11.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
12.,,,,,,,,,,,,,12.,,,,,,,,Mechanics,A
12.1,,,,0.0,,,,0.0,,,,,12.1,,,,,,,,Mechanics,A
12.2,,,,0.0,,,,0.0,,,,,12.2,,,,,,,,Mechanics,A
12.3,,,,0.0,,,,0.0,,,,,12.3,,,,,,,,Mechanics,A
12.4,,,,0.0,,,,0.0,,,,,12.4,,,,,,,,Mechanics,A
12.5,,,,0.0,,,,0.0,,,,,12.5,,,,,,,,Mechanics,A
12.6,,,,0.0,,,,0.0,,,,,12.6,,,,,,,,Mechanics,A
12.7,,,,0.0,,,,0.0,,,,,12.7,,,,,,,,Mechanics,A
12.8,,,,0.0,,,,0.0,,,,,12.8,,,,,,,,Mechanics,A
12.9,,,,0.0,,,,0.0,,,,,12.9,,,,,,,,Mechanics,A
12.10,,,,0.0,,,,0.0,,,,,12.10,,,,,,,,Mechanics,A
12.11,,,,0.0,,,,0.0,,,,,12.11,,,,,,,,Mechanics,A
12.12,,,,0.0,,,,0.0,,,,,12.12,,,,,,,,Mechanics,A
12.13,,,,0.0,,,,0.0,,,,,12.13,,,,,,,,Mechanics,A
12.14,,,,0.0,,,,0.0,,,,,12.14,,,,,,,,Mechanics,A
12.15,,,,0.0,,,,0.0,,,,,12.15,,,,,,,,Mechanics,A
12.16,,,,0.0,,,,0.0,,,,,12.16,,,,,,,,Mechanics,A
12.17,,,,0.0,,,,0.0,,,,,12.17,,,,,,,,Mechanics,A
12.18,,,,0.0,,,,0.0,,,,,12.18,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
12.,"Total Price: 
",,,,,,,0.0,,,,,12.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
13.,,,,,,,,,,,,,13.,,,,,,,,Mechanics,A
13.1,,,,0.0,,,,0.0,,,,,13.1,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
13.,"Total Price: 
",,,,,,,0.0,,,,,13.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
14.,,,,,,,,,,,,,14.,,,,,,,,Mechanics,A
14.1,,,,0.0,,,,0.0,,,,,14.1,,,,,,,,Mechanics,A
14.2,,,,0.0,,,,0.0,,,,,14.2,,,,,,,,Mechanics,A
14.3,,,,0.0,,,,0.0,,,,,14.3,,,,,,,,Mechanics,A
14.4,,,,0.0,,,,0.0,,,,,14.4,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
