item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
4.,"Total Price: 
",,,,,,,0.0,,,,,4.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
5.,,,,,,,,,,,,,5.,,,,,,,,ATS Mechanics v2,B
5.1,,,,0.0,,,,0.0,,,,,5.1,,,,,,,,ATS Mechanics v2,B
5.2,,,,0.0,,,,0.0,,,,,5.2,,,,,,,,ATS Mechanics v2,B
5.3,,,,0.0,,,,0.0,,,,,5.3,,,,,,,,ATS Mechanics v2,B
5.4,,,,0.0,,,,0.0,,,,,5.4,,,,,,,,ATS Mechanics v2,B
5.5,,,,0.0,,,,0.0,,,,,5.5,,,,,,,,ATS Mechanics v2,B
5.6,,,,0.0,,,,0.0,,,,,5.6,,,,,,,,ATS Mechanics v2,B
5.7,,,,0.0,,,,0.0,,,,,5.7,,,,,,,,ATS Mechanics v2,B
5.8,,,,0.0,,,,0.0,,,,,5.8,,,,,,,,ATS Mechanics v2,B
5.9,,,,0.0,,,,0.0,,,,,5.9,,,,,,,,ATS Mechanics v2,B
5.10,,,,0.0,,,,0.0,,,,,5.10,,,,,,,,ATS Mechanics v2,B
5.11,,,,0.0,,,,0.0,,,,,5.11,,,,,,,,ATS Mechanics v2,B
5.12,,,,0.0,,,,0.0,,,,,5.12,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
